"k__Archaea;p__Crenarchaeota" "k__Archaea;p__Euryarchaeota" "k__Archaea;p__[Parvarchaeota]" "k__Bacteria;p__" "k__Bacteria;p__AD3" "k__Bacteria;p__Acidobacteria" "k__Bacteria;p__Actinobacteria" "k__Bacteria;p__AncK6" "k__Bacteria;p__Aquificae" "k__Bacteria;p__Armatimonadetes" "k__Bacteria;p__BHI80-139" "k__Bacteria;p__BRC1" "k__Bacteria;p__Bacteroidetes" "k__Bacteria;p__Caldithrix" "k__Bacteria;p__Chlamydiae" "k__Bacteria;p__Chlorobi" "k__Bacteria;p__Chloroflexi" "k__Bacteria;p__Cyanobacteria" "k__Bacteria;p__Deferribacteres" "k__Bacteria;p__Elusimicrobia" "k__Bacteria;p__FBP" "k__Bacteria;p__FCPU426" "k__Bacteria;p__Fibrobacteres" "k__Bacteria;p__Firmicutes" "k__Bacteria;p__Fusobacteria" "k__Bacteria;p__GAL15" "k__Bacteria;p__GN02" "k__Bacteria;p__GN04" "k__Bacteria;p__GOUTA4" "k__Bacteria;p__Gemmatimonadetes" "k__Bacteria;p__LD1" "k__Bacteria;p__Lentisphaerae" "k__Bacteria;p__MVP-21" "k__Bacteria;p__NC10" "k__Bacteria;p__NKB19" "k__Bacteria;p__Nitrospirae" "k__Bacteria;p__OD1" "k__Bacteria;p__OP1" "k__Bacteria;p__OP11" "k__Bacteria;p__OP3" "k__Bacteria;p__OP8" "k__Bacteria;p__OP9" "k__Bacteria;p__PAUC34f" "k__Bacteria;p__Planctomycetes" "k__Bacteria;p__Proteobacteria" "k__Bacteria;p__SAR406" "k__Bacteria;p__SBR1093" "k__Bacteria;p__SR1" "k__Bacteria;p__Spirochaetes" "k__Bacteria;p__Synergistetes" "k__Bacteria;p__TM6" "k__Bacteria;p__TM7" "k__Bacteria;p__TPD-58" "k__Bacteria;p__Tenericutes" "k__Bacteria;p__Thermotogae" "k__Bacteria;p__Verrucomicrobia" "k__Bacteria;p__WPS-2" "k__Bacteria;p__WS1" "k__Bacteria;p__WS2" "k__Bacteria;p__WS3" "k__Bacteria;p__WS4" "k__Bacteria;p__WWE1" "k__Bacteria;p__ZB3" "k__Bacteria;p__[Caldithrix]" "k__Bacteria;p__[Thermi]"
"10317.000002056" 0 0 0 0 0 0 0.00675145234730727 0 0 0 0 0 0.434343434343435 0 0 0 0 0.00136075783744178 0 0 0 0 0 0.538493745747634 0.0023028209556707 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166431150887109 0 0 0 0 0.000104673679803213 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10317.000006695" 0 0 0 0 0 0 0.025 0 0 0 0 0 0.272916666666667 0 0 0 0 0 0 0 0 0 0 0.597916666666666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08125 0 0 0 0 0 0 0 0 0.00833333333333333 0 0.0145833333333333 0 0 0 0 0 0 0 0 0
"10317.000067633" 0 0 0 0 0 0 0.00513540237950943 0 0 0 0 0 0.491627061337756 0 0 0 0 9.56907275684986e-05 0 0 0 0 0 0.402602787789862 3.18969091894995e-05 0 0 0 0 0 0 0.000350866001084495 0 0 0 0 0 0 0 0 0 0 0 0 0.10009250103665 0 0 0 0 0 0 0 0 0 0 6.37938183789991e-05 0 0 0 0 0 0 0 0 0
"10317.000073330" 0 0 0 0 0 0 0.0209166612025441 0 0 0 0 0 0.686282866697266 0 0 0 0 0.000196708412563111 0 0 0 0 0 0.220411776276965 3.27847354271851e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0284899350862239 0 0 0 0 0 0 0 0 0 0 0.0436692675890106 0 0 0 0 0 0 0 0 0
"10317.000067649" 0 0 0 0 0 0 0.00833194467588735 0 0 0 0 0 0.495306337832584 0 0 0 0 0 0 0 0 0 0 0.496083986002333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000277731489196245 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10317.000014381A" 0 0 0 0 0 0 0.00755056802438349 0 0 0 0 0 0.138681075090053 0 0 0 0 0 0 0 0 0 0 0.789553893045169 0 0 0 0 0 0 0 0.000346356331393738 0 0 0 0 0 0 0 0 0 0 0 0 0.0371986699916874 0 0 0 0 0 0 0 0 0.0247298420615129 0 0.00193959545580493 0 0 0 0 0 0 0 0 0
"10317.000007006" 0 0 0 0 0 0 0.016804131658059 0 0 0 0 0 0.166114237262006 0 0 0 0 0 0 0 0 0 0 0.579665459030293 7.70831727433901e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.237262005704155 0 0 0 0 0 0 0 0 0 0 7.70831727433901e-05 0 0 0 0 0 0 0 0 0
"10317.000031483" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.428571428571429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.571428571428571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10317.000032949" 0 0 0 0 0 0 0 0 0 0 0 0 0.176470588235294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.823529411764706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10317.000030959" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
